ref	wgt	uk2
1000	999,93	0,05
1000	999,38	0,05
1000	999,77	0,05
1000	998,71	0,05
1000	999,02	0,05
1000	998,85	0,05
1000	1000,22	0,05
1000	999,48	0,05
1000	998,69	0,05
1000	999,67	0,05
1000	998,97	0,05
1000	1000,06	0,05
1000	997,23	0,05
1000	999,91	0,05
1000	999,93	0,05
1000	999,35	0,05
1000	999,71	0,05
1000	999,55	0,05
1000	1000,13	0,05
1000	999,51	0,05
1000	999,2	0,05
1000	1000,14	0,05
1000	999,79	0,05
1000	999,75	0,05
1000	1000,24	0,05
1000	1000,19	0,05
1000	999,76	0,05
1000	999,92	0,05
1000	1000,04	0,05
1000	999,56	0,05
1000	999,91	0,05
1000	999,81	0,05
1000	999,87	0,05
1000	999,74	0,05
1000	999,38	0,05
1000	999,01	0,05
1000	998,97	0,05
1000	999,86	0,05
1000	998,95	0,05
1000	1000,23	0,05
1000	998,24	0,05
1000	999,56	0,05
1000	999,12	0,05
1000	999,81	0,05
1000	1000,5	0,05
1000	999,87	0,05
1000	999,09	0,05
1000	1000,3	0,05
1000	1000,66	0,05
1000	999,76	0,05
1000	999,1	0,05
1000	998,79	0,05
1000	999,76	0,05
1000	1000,14	0,05
1000	998,82	0,05
1000	999,15	0,05
1000	999,65	0,05
1000	1000,19	0,05
1000	999,65	0,05
1000	1000,42	0,05
1000	999,24	0,05
1000	999,02	0,05
1000	996,29	0,05
1000	999,34	0,05
1000	999,7	0,05
1000	999,63	0,05
1000	999,02	0,05
1000	999,9	0,05
1000	999,71	0,05
1000	1000,4	0,05
1000	998,39	0,05
1000	999,47	0,05
1000	1000,31	0,05
1000	998,69	0,05
1000	999,76	0,05
1000	998,67	0,05
1000	999,39	0,05
1000	1000,35	0,05
1000	999,05	0,05
1000	998,72	0,05
1000	999,92	0,05
1000	1000,29	0,05
1000	999,53	0,05
1000	998,27	0,05
1000	1000,55	0,05
1000	1000,4	0,05
1000	999,74	0,05
1000	999,7	0,05
1000	1000,41	0,05
1000	999,16	0,05
1000	999,81	0,05
1000	999,5	0,05
1000	999,51	0,05
1000	998,88	0,05
1000	999,64	0,05
1000	999,35	0,05
1000	998,48	0,05
1000	999,56	0,05
1000	999,37	0,05
1000	999,36	0,05
1000	998,77	0,05
1000	998,71	0,05
1000	999,72	0,05
1000	999,67	0,05
1000	999,79	0,05
1000	999,86	0,05
1000	999,81	0,05
1000	999,76	0,05
1000	999,67	0,05
1000	1000,07	0,05
1000	1000,21	0,05
1000	1000,43	0,05
1000	997,89	0,05
1000	998,95	0,05
1000	999,71	0,05
1000	999,09	0,05
1000	998,75	0,05
1000	1000,3	0,05
1000	998,99	0,05
1000	999,66	0,05
1000	1000,51	0,05
1000	998,75	0,05
1000	999,65	0,05
1000	999,51	0,05
1000	1000,49	0,05
1000	998,93	0,05
1000	1000,22	0,05
1000	999,69	0,05
1000	999,17	0,05
1000	1000,22	0,05
1000	999,33	0,05
1000	998,16	0,05
1000	1000,02	0,05
1000	1000,12	0,05
1000	999,48	0,05
1000	999,73	0,05
1000	1000,16	0,05
1000	999,84	0,05
1000	1000,65	0,05
1000	999,73	0,05
1000	999,72	0,05
1000	1000,05	0,05
1000	999,86	0,05
1000	1000,16	0,05
1000	998,89	0,05
1000	999,66	0,05
1000	999,9	0,05
1000	1000,03	0,05
1000	999,69	0,05
1000	999,58	0,05
1000	999,54	0,05
1000	999,13	0,05
1000	1000,3	0,05
1000	1000,38	0,05
1000	999,59	0,05
1000	999,29	0,05
1000	999,68	0,05
1000	999,68	0,05
1000	998,84	0,05
1000	999,47	0,05
1000	998,67	0,05
1000	999,77	0,05
1000	998,17	0,05
1000	999,76	0,05
1000	999,42	0,05
1000	999,72	0,05
1000	1000,11	0,05
1000	999,74	0,05
1000	1000,5	0,05
1000	999,29	0,05
1000	998,74	0,05
1000	1000,01	0,05
1000	1000,69	0,05
1000	999,35	0,05
1000	1000,29	0,05
1000	999,9	0,05
1000	999,22	0,05
1000	1000,64	0,05
1000	999,62	0,05
1000	1000,18	0,05
1000	1000,02	0,05
1000	999,84	0,05
1000	1000,39	0,05
1000	999,73	0,05
1000	999,73	0,05
1000	999,51	0,05
1000	998,83	0,05
1000	998,91	0,05
1000	999,48	0,05
1000	999,09	0,05
1000	999,85	0,05
1000	999,73	0,05
1000	1000,38	0,05
1000	999,62	0,05
1000	1000,29	0,05
1000	999,87	0,05
1000	999,87	0,05
1000	1000,62	0,05
1000	999,85	0,05
1000	1001	0,05
1000	1001,21	0,05
1000	1000,45	0,05
1000	1000,34	0,05
1000	1001,08	0,05
1000	1001,18	0,05
1000	1000,59	0,05
1000	1000,74	0,05
1000	999,84	0,05
1000	1000,87	0,05
1000	1000,66	0,05
1000	1000,23	0,05
1000	1000,62	0,05
1000	1000,14	0,05
1000	1001,25	0,05
1000	1001,01	0,05
1000	1000,92	0,05
1000	1001,18	0,05
1000	1000,49	0,05
1000	1000,78	0,05
1000	1001,29	0,05
1000	1001,39	0,05
1000	1001,99	0,05
1000	1000,01	0,05
1000	1000,66	0,05
1000	1000,47	0,05
1000	1001,63	0,05
1000	1001,43	0,05
1000	999,74	0,67
1000	1001,05	0,05
1000	1001,14	0,05
1000	1000,2	0,05
1000	1001,33	0,05
1000	1001,24	0,05
1000	1000,77	0,05
1000	1000,49	0,05
1000	1000,82	0,05
1000	1001,32	0,05
1000	1002,52	0,05
1000	999,19	0,05
1000	1001,2	0,05
1000	1000,69	0,05
1000	1001,48	0,05
1000	1000,66	0,05
1000	1000,55	0,05
1000	1000,89	0,05
1000	1000,67	0,05
1000	1001,32	0,05
1000	1000,76	0,05
1000	999,94	0,05
1000	1000,5	0,05
1000	1000,5	0,05
1000	1001,34	0,05
1000	1000,69	0,05
1000	1000,58	0,05
1000	1000,95	0,05
1000	1001,01	0,05
1000	1000,01	0,05
1000	1000,43	0,05
1000	1001,49	0,05
1000	1000,63	0,05
1000	1001,28	0,05
1000	1000,79	0,05
1000	1001,15	0,05
1000	1000,11	0,05
1000	999,98	0,05
1000	1000,93	0,05
1000	1000,59	0,05
1000	1000,39	0,05
1000	1000,15	0,05
1000	1000,98	0,05
1000	1000,83	0,05
1000	1000,37	0,05
1000	1000,26	0,05
1000	1001,03	0,05
1000	1000,2	0,05
1000	1000,75	0,05
1000	1000,21	0,05
1000	1000,99	0,05
1000	1001,3	0,05
1000	1001,47	0,05
1000	1001,06	0,05
1000	1000,6	0,05
1000	1000,74	0,05
1000	1000,8	0,05
1000	1000,4	0,05
1000	1000,83	0,05
1000	1000,68	0,05
1000	1000,7	0,05
1000	1000,75	0,05
1000	1000,97	0,05
1000	996,73	0,05
1000	1000,36	0,05
1000	1000,19	0,05
1000	1000,25	0,05
1000	1001	0,05
1000	1000,62	0,05
1000	1001,12	0,05
1000	1001,37	0,05
1000	1000,06	0,05
1000	1001,75	0,05
1000	1000,54	0,05
1000	1001,41	0,05
1000	999,16	0,05
